DATE,CANGDPDEFQISMEI_NBD20100101
1961-01-01,12.38642
1961-04-01,12.36736
1961-07-01,12.40538
1961-10-01,12.47261
1962-01-01,12.49326
1962-04-01,12.54078
1962-07-01,12.62545
1962-10-01,12.66103
1963-01-01,12.68352
1963-04-01,12.75685
1963-07-01,12.87723
1963-10-01,12.98860
1964-01-01,12.97961
1964-04-01,13.15126
1964-07-01,13.28556
1964-10-01,13.38354
1965-01-01,13.43508
1965-04-01,13.62794
1965-07-01,13.75681
1965-10-01,13.89515
1966-01-01,14.09264
1966-04-01,14.27791
1966-07-01,14.47567
1966-10-01,14.56502
1967-01-01,14.78767
1967-04-01,14.94642
1967-07-01,15.02080
1967-10-01,15.23148
1968-01-01,15.46760
1968-04-01,15.52370
1968-07-01,15.65016
1968-10-01,15.82879
1969-01-01,16.07698
1969-04-01,16.32245
1969-07-01,16.45888
1969-10-01,16.63144
1970-01-01,16.88739
1970-04-01,17.00388
1970-07-01,17.19745
1970-10-01,17.29908
1971-01-01,17.65732
1971-04-01,17.85587
1971-07-01,17.95054
1971-10-01,18.21182
1972-01-01,18.59782
1972-04-01,18.77462
1972-07-01,19.09504
1972-10-01,19.43601
1973-01-01,19.82269
1973-04-01,20.45379
1973-07-01,21.07512
1973-10-01,21.89224
1974-01-01,22.76725
1974-04-01,23.53245
1974-07-01,24.53265
1974-10-01,25.09113
1975-01-01,25.53783
1975-04-01,26.14454
1975-07-01,26.92568
1975-10-01,27.55450
1976-01-01,28.20143
1976-04-01,29.03476
1976-07-01,29.22170
1976-10-01,29.80384
1977-01-01,30.31739
1977-04-01,30.80455
1977-07-01,31.34660
1977-10-01,31.70033
1978-01-01,32.08397
1978-04-01,32.78706
1978-07-01,33.37539
1978-10-01,34.11278
1979-01-01,34.87075
1979-04-01,36.01705
1979-07-01,36.89340
1979-10-01,37.78435
1980-01-01,38.52654
1980-04-01,39.46674
1980-07-01,40.47660
1980-10-01,41.78655
1981-01-01,42.97867
1981-04-01,43.96958
1981-07-01,44.97466
1981-10-01,45.62599
1982-01-01,46.92838
1982-04-01,47.89087
1982-07-01,48.70121
1982-10-01,49.65581
1983-01-01,50.04094
1983-04-01,50.60186
1983-07-01,51.61235
1983-10-01,51.92537
1984-01-01,52.31565
1984-04-01,52.63677
1984-07-01,53.04775
1984-10-01,53.37451
1985-01-01,53.74885
1985-04-01,54.59664
1985-07-01,54.84031
1985-10-01,55.17082
1986-01-01,55.60250
1986-04-01,55.83592
1986-07-01,56.41591
1986-10-01,57.19003
1987-01-01,57.85050
1987-04-01,58.68260
1987-07-01,59.25626
1987-10-01,59.90285
1988-01-01,60.55648
1988-04-01,61.01093
1988-07-01,62.00639
1988-10-01,62.79829
1989-01-01,63.25836
1989-04-01,64.31396
1989-07-01,65.00178
1989-10-01,65.32572
1990-01-01,65.71414
1990-04-01,66.35105
1990-07-01,67.03679
1990-10-01,67.53165
1991-01-01,68.24713
1991-04-01,68.70251
1991-07-01,68.90815
1991-10-01,68.94045
1992-01-01,69.26833
1992-04-01,69.63100
1992-07-01,69.92631
1992-10-01,70.06680
1993-01-01,70.31691
1993-04-01,70.73641
1993-07-01,70.50595
1993-10-01,71.02073
1994-01-01,71.26852
1994-04-01,71.24449
1994-07-01,71.88900
1994-10-01,72.25234
1995-01-01,72.74706
1995-04-01,73.15543
1995-07-01,73.41571
1995-10-01,73.77149
1996-01-01,74.10293
1996-04-01,74.29874
1996-07-01,74.64675
1996-10-01,75.17562
1997-01-01,75.41803
1997-04-01,75.21207
1997-07-01,75.37783
1997-10-01,75.63131
1998-01-01,75.43394
1998-04-01,75.43920
1998-07-01,74.99225
1998-10-01,75.15793
1999-01-01,75.49481
1999-04-01,76.31793
1999-07-01,77.17958
1999-10-01,77.58233
2000-01-01,78.49411
2000-04-01,79.66986
2000-07-01,80.44259
2000-10-01,81.07441
2001-01-01,81.92004
2001-04-01,81.86155
2001-07-01,80.88791
2001-10-01,80.24740
2002-01-01,80.66726
2002-04-01,82.02987
2002-07-01,82.54257
2002-10-01,83.62418
2003-01-01,84.78910
2003-04-01,84.12810
2003-07-01,85.45202
2003-10-01,85.48931
2004-01-01,86.53168
2004-04-01,87.64302
2004-07-01,88.17650
2004-10-01,88.62570
2005-01-01,89.13385
2005-04-01,89.79360
2005-07-01,91.08350
2005-10-01,92.21174
2006-01-01,92.35862
2006-04-01,92.73258
2006-07-01,93.33881
2006-10-01,93.65581
2007-01-01,95.05713
2007-04-01,96.04198
2007-07-01,95.89193
2007-10-01,97.13220
2008-01-01,98.92903
2008-04-01,100.97562
2008-07-01,101.24116
2008-10-01,97.92536
2009-01-01,96.44222
2009-04-01,97.05180
2009-07-01,97.78527
2009-10-01,99.23765
2010-01-01,100.00000
2010-04-01,99.84138
2010-07-01,99.98522
2010-10-01,101.03282
2011-01-01,102.57753
2011-04-01,103.59273
2011-07-01,103.72494
2011-10-01,104.54480
2012-01-01,104.82347
2012-04-01,104.72976
2012-07-01,105.33824
2012-10-01,105.81102
2013-01-01,106.42958
2013-04-01,106.23047
2013-07-01,106.87207
2013-10-01,106.98708
2014-01-01,108.49212
2014-04-01,108.49735
2014-07-01,108.87121
2014-10-01,108.25050
