DATE,GDPDEF_NBD20090101
1955-01-01,15.40745
1955-04-01,15.47141
1955-07-01,15.58034
1955-10-01,15.73325
1956-01-01,15.89215
1956-04-01,15.98709
1956-07-01,16.18696
1956-10-01,16.25392
1957-01-01,16.47479
1957-04-01,16.59071
1957-07-01,16.69065
1957-10-01,16.70065
1958-01-01,16.88153
1958-04-01,16.92950
1958-07-01,17.03244
1958-10-01,17.11239
1959-01-01,17.15836
1959-04-01,17.18335
1959-07-01,17.24731
1959-10-01,17.31526
1960-01-01,17.38622
1960-04-01,17.43219
1960-07-01,17.49515
1960-10-01,17.54912
1961-01-01,17.58710
1961-04-01,17.63007
1961-07-01,17.67604
1961-10-01,17.73400
1962-01-01,17.82595
1962-04-01,17.85493
1962-07-01,17.89191
1962-10-01,17.92689
1963-01-01,18.00584
1963-04-01,18.03582
1963-07-01,18.05780
1963-10-01,18.20471
1964-01-01,18.26268
1964-04-01,18.30665
1964-07-01,18.38060
1964-10-01,18.46455
1965-01-01,18.55749
1965-04-01,18.64044
1965-07-01,18.71440
1965-10-01,18.84132
1966-01-01,18.96324
1966-04-01,19.11915
1966-07-01,19.30503
1966-10-01,19.46893
1967-01-01,19.54988
1967-04-01,19.64882
1967-07-01,19.83670
1967-10-01,20.05457
1968-01-01,20.27743
1968-04-01,20.49130
1968-07-01,20.69317
1968-10-01,20.98599
1969-01-01,21.20385
1969-04-01,21.47469
1969-07-01,21.77650
1969-10-01,22.05732
1970-01-01,22.36813
1970-04-01,22.67994
1970-07-01,22.86582
1970-10-01,23.16764
1971-01-01,23.52142
1971-04-01,23.83122
1971-07-01,24.07307
1971-10-01,24.27295
1972-01-01,24.64872
1972-04-01,24.79962
1972-07-01,25.03248
1972-10-01,25.35028
1973-01-01,25.64510
1973-04-01,26.03586
1973-07-01,26.53255
1973-10-01,27.06022
1974-01-01,27.57490
1974-04-01,28.23050
1974-07-01,29.04899
1974-10-01,29.90446
1975-01-01,30.58204
1975-04-01,31.03976
1975-07-01,31.59241
1975-10-01,32.11909
1976-01-01,32.45288
1976-04-01,32.78267
1976-07-01,33.20541
1976-10-01,33.79405
1977-01-01,34.33771
1977-04-01,34.81941
1977-07-01,35.24815
1977-10-01,36.01367
1978-01-01,36.55034
1978-04-01,37.21892
1978-07-01,37.84154
1978-10-01,38.63705
1979-01-01,39.32762
1979-04-01,40.27903
1979-07-01,41.13949
1979-10-01,41.95998
1980-01-01,42.83244
1980-04-01,43.77286
1980-07-01,44.78024
1980-10-01,46.01747
1981-01-01,47.16676
1981-04-01,48.05121
1981-07-01,48.91567
1981-10-01,49.83210
1982-01-01,50.52967
1982-04-01,51.13829
1982-07-01,51.87484
1982-10-01,52.45048
1983-01-01,52.87422
1983-04-01,53.23200
1983-07-01,53.78965
1983-10-01,54.18541
1984-01-01,54.76205
1984-04-01,55.22276
1984-07-01,55.67048
1984-10-01,56.04425
1985-01-01,56.68885
1985-04-01,57.03964
1985-07-01,57.37043
1985-10-01,57.70222
1986-01-01,57.98405
1986-04-01,58.21591
1986-07-01,58.45076
1986-10-01,58.77656
1987-01-01,59.20329
1987-04-01,59.60005
1987-07-01,60.03278
1987-10-01,60.52947
1988-01-01,61.00518
1988-04-01,61.59481
1988-07-01,62.32036
1988-10-01,62.82005
1989-01-01,63.51062
1989-04-01,64.16722
1989-07-01,64.63193
1989-10-01,65.08165
1990-01-01,65.80020
1990-04-01,66.47878
1990-07-01,67.07242
1990-10-01,67.58010
1991-01-01,68.25368
1991-04-01,68.72139
1991-07-01,69.22608
1991-10-01,69.59985
1992-01-01,69.89866
1992-04-01,70.34439
1992-07-01,70.67918
1992-10-01,71.15688
1993-01-01,71.56163
1993-04-01,71.99636
1993-07-01,72.43009
1993-10-01,72.80786
1994-01-01,73.16064
1994-04-01,73.52541
1994-07-01,73.92317
1994-10-01,74.32992
1995-01-01,74.75665
1995-04-01,75.08545
1995-07-01,75.44223
1995-10-01,75.81400
1996-01-01,76.22474
1996-04-01,76.51456
1996-07-01,76.73043
1996-10-01,77.12019
1997-01-01,77.59889
1997-04-01,77.80876
1997-07-01,78.08659
1997-10-01,78.34643
1998-01-01,78.47435
1998-04-01,78.63824
1998-07-01,78.93206
1998-10-01,79.17891
1999-01-01,79.57466
1999-04-01,79.84150
1999-07-01,80.13032
1999-10-01,80.49709
2000-01-01,81.11271
2000-04-01,81.57243
2000-07-01,82.10110
2000-10-01,82.54182
2001-01-01,83.06050
2001-04-01,83.64714
2001-07-01,83.92097
2001-10-01,84.17481
2002-01-01,84.44464
2002-04-01,84.75945
2002-07-01,85.13721
2002-10-01,85.59793
2003-01-01,86.12560
2003-04-01,86.40143
2003-07-01,86.88013
2003-10-01,87.29188
2004-01-01,88.05341
2004-04-01,88.81993
2004-07-01,89.36659
2004-10-01,89.99320
2005-01-01,90.82669
2005-04-01,91.48628
2005-07-01,92.34175
2005-10-01,93.04231
2006-01-01,93.77386
2006-04-01,94.52839
2006-07-01,95.18798
2006-10-01,95.52078
2007-01-01,96.59411
2007-04-01,97.13378
2007-07-01,97.47057
2007-10-01,97.89530
2008-01-01,98.45496
2008-04-01,98.93366
2008-07-01,99.61124
2008-10-01,99.75315
2009-01-01,100.00000
2009-04-01,99.83310
2009-07-01,99.81112
2009-10-01,100.10693
2010-01-01,100.45971
2010-04-01,100.90544
2010-07-01,101.36615
2010-10-01,101.88583
2011-01-01,102.33555
2011-04-01,103.08109
2011-07-01,103.70370
2011-10-01,103.85261
2012-01-01,104.40127
2012-04-01,104.87798
2012-07-01,105.44263
2012-10-01,105.86936
2013-01-01,106.28310
2013-04-01,106.50397
2013-07-01,107.01765
2013-10-01,107.56931
2014-01-01,108.05001
2014-04-01,108.64164
2014-07-01,109.09736
2014-10-01,109.23228
2015-01-01,109.24227
